Number,x,y,label_name,class_name
1,404,509,ROC,HB
2,150,287,TWS,TWS
3,374,840,ROC,HB
4,284,956,Hal,CHL
5,422,1293,CCA,RHO
6,170,1138,CCA,RHO
7,561,2073,Ana,CHL
8,489,1890,CCA,RHO
9,699,2375,CCA,RHO
10,35,2337,CHL,CHL
11,859,411,CCA,RHO
12,1115,54,Ana,CHL
13,1375,918,CCA,RHO
14,1319,889,CCA,RHO
15,1061,1483,RHO,RHO
16,877,1592,RHO,RHO
17,741,1720,CCA,RHO
18,1025,2102,CCA,RHO
19,1314,2498,CCA,RHO
20,1105,2324,CCA,RHO
21,1972,332,Ana,CHL
22,1754,90,Ana,CHL
23,2139,970,ROC,HB
24,1721,818,ROC,HB
25,1826,1553,RHO,RHO
26,1676,1529,ROC,HB
27,1471,2143,RHO,RHO
28,1492,1734,CCA,RHO
29,1659,2221,CCA,RHO
30,1637,2447,Venv,CHL
31,2336,145,RHO,RHO
32,2306,510,Ana,CHL
33,2723,1005,Ana,CHL
34,2886,733,CCA,RHO
35,2471,1329,Hal,CHL
36,2197,1288,ROC,HB
37,2423,2068,ROC,HB
38,2816,1795,CCA,RHO
39,2715,2244,CCA,RHO
40,2208,2210,RHO,RHO
41,3439,80,ROC,HB
42,3361,360,ROC,HB
43,3084,1076,CCA,RHO
44,3404,1057,RHO,RHO
45,3589,1262,CCA,RHO
46,2960,1216,Ana,CHL
47,3232,1964,CCA,RHO
48,3588,2113,Ana,CHL
49,3619,2521,ROC,HB
50,3047,2241,CCA,RHO
