Number,x,y,label_name,class_name
1,72,142,CCA,RHO
2,478,146,CCA,RHO
3,78,1041,Ana,CHL
4,232,961,CCA,RHO
5,79,1452,Ana,CHL
6,434,1453,CCA,RHO
7,245,2177,CCA,RHO
8,606,1860,CCA,RHO
9,93,2606,CCA,RHO
10,656,2295,CCA,RHO
11,1021,364,ROC,HB
12,1001,303,ROC,HB
13,939,616,Aga,COR
14,1126,1070,CCA,RHO
15,1389,1111,Agaf,COR
16,1113,1436,CCA,RHO
17,831,1782,Aga,COR
18,1113,1733,Aga,COR
19,1344,2294,Agalg,COR
20,1157,2712,CCA,RHO
21,2150,214,CCA,RHO
22,1671,247,Agalg,COR
23,1781,717,Agalg,COR
24,1582,637,ROC,HB
25,1931,1317,Agalg,COR
26,1789,1529,ROC,HB
27,2110,1878,Agalg,COR
28,1694,2167,Ana,CHL
29,1943,2603,CCA,RHO
30,1492,2194,Agalg,COR
31,2403,149,Ana,CHL
32,2645,338,Ana,CHL
33,2861,714,Ana,CHL
34,2258,895,Agalg,COR
35,2638,1143,CCA,RHO
36,2298,1287,Aga,COR
37,2697,1923,Aga,COR
38,2358,1754,Aga,COR
39,2220,2402,CCA,RHO
40,2434,2598,CCA,RHO
41,3437,383,ROC,HB
42,2932,93,ROC,HB
43,3115,814,Aga,COR
44,3263,856,Ana,CHL
45,3274,1168,ROC,HB
46,3173,1381,DEM,POR
47,3258,2059,CCA,RHO
48,3471,1872,Ana,CHL
49,3519,2699,ROC,HB
50,3080,2413,ROC,HB
