Number,x,y,label_name,class_name
1,166,20,Aio,POR
2,38,322,CCA,RHO
3,41,705,Ana,CHL
4,113,956,Mdrcb,COR
5,33,1256,CCA,RHO
6,244,1286,ROC,HB
7,128,2145,Venv,CHL
8,273,1754,ROC,HB
9,718,2423,ROC,HB
10,719,2233,ROC,HB
11,869,475,Ana,CHL
12,814,330,DEM,POR
13,802,894,Ana,CHL
14,919,694,CCA,RHO
15,1233,1166,Ana,CHL
16,924,1526,Ana,CHL
17,1199,1784,Ana,CHL
18,912,1820,Ana,CHL
19,1217,2230,CCA,RHO
20,895,2697,Davi,ECH
21,1602,296,RHO,RHO
22,1716,146,RUB,HB
23,1846,960,CCA,RHO
24,1845,654,CCA,RHO
25,1831,1120,CCA,RHO
26,2141,1569,CCA,RHO
27,2154,1661,CCA,RHO
28,1481,2100,CCA,RHO
29,1721,2233,CCA,RHO
30,1706,2703,RUB,HB
31,2417,141,RUB,HB
32,2412,326,CCA,RHO
33,2664,553,CCA,RHO
34,2418,863,CCA,RHO
35,2701,1416,CCA,RHO
36,2689,1182,CCA,RHO
37,2489,2063,CCA,RHO
38,2249,2032,Mdrsf,COR
39,2828,2637,CCA,RHO
40,2725,2244,ASC,CHO
41,3053,407,RUB,HB
42,2999,76,RUB,HB
43,2925,952,CCA,RHO
44,3583,827,ROC,HB
45,3343,1421,Ana,CHL
46,3189,1420,CCA,RHO
47,3484,1980,ROC,HB
48,3202,1964,ROC,HB
49,3524,2694,CCA,RHO
50,3489,2503,CCA,RHO
