Number,x,y,label_name,class_name
1,157,459,ROC,HB
2,727,508,CCA,RHO
3,163,804,ROC,HB
4,647,1029,Ana,CHL
5,105,1507,ROC,HB
6,574,1261,ROC,HB
7,413,1906,CCA,RHO
8,348,1643,ROC,HB
9,222,2299,CCA,RHO
10,383,2490,CCA,RHO
11,1220,443,CCA,RHO
12,994,278,CCA,RHO
13,810,592,CCA,RHO
14,1164,968,CCA,RHO
15,781,1493,CCA,RHO
16,1058,1496,ROC,HB
17,1458,2032,Ana,CHL
18,1231,1799,Ana,CHL
19,845,2434,ROC,HB
20,1368,2256,Ana,CHL
21,2089,167,Ana,CHL
22,1841,216,Ana,CHL
23,1775,1022,ROC,HB
24,1693,1006,ROC,HB
25,1638,1269,ROC,HB
26,1678,1119,CCA,RHO
27,1815,1696,Ana,CHL
28,1935,2154,Ana,CHL
29,1468,2270,Ana,CHL
30,1468,2681,RUB,HB
31,2455,354,Ana,CHL
32,2769,47,Aga,COR
33,2533,836,Ana,CHL
34,2350,766,Ana,CHL
35,2258,1524,CCA,RHO
36,2589,1120,Ana,CHL
37,2464,1674,CCA,RHO
38,2597,1917,CCA,RHO
39,2904,2212,Ana,CHL
40,2584,2712,CCA,RHO
41,3324,215,Agaf,COR
42,3232,314,Agaf,COR
43,3356,1028,Aga,COR
44,3143,1009,Verp,CHL
45,3292,1146,Verp,CHL
46,3208,1238,Verp,CHL
47,3305,2177,Ana,CHL
48,3345,2052,Ana,CHL
49,3284,2567,Ana,CHL
50,3406,2631,Ana,CHL
