Number,x,y,label_name,class_name
1,81,145,Ana,CHL
2,260,65,Ana,CHL
3,257,836,Ana,CHL
4,681,1094,Ana,CHL
5,216,1450,Ana,CHL
6,135,1600,Ana,CHL
7,556,1977,Ana,CHL
8,269,2169,Ana,CHL
9,628,2309,Ana,CHL
10,105,2453,Ana,CHL
11,987,374,CCA,RHO
12,1216,364,CCA,RHO
13,1175,795,RUB,HB
14,803,774,RUB,HB
15,1240,1445,Ana,CHL
16,1127,1555,Ana,CHL
17,1194,1843,Ana,CHL
18,903,1649,Ana,CHL
19,838,2570,Ana,CHL
20,752,2699,Ana,CHL
21,1509,454,CCA,RHO
22,1775,21,ROC,HB
23,2042,1063,CCA,RHO
24,1655,771,ROC,HB
25,2091,1301,ROC,HB
26,1983,1121,CCA,RHO
27,2146,1879,Ana,CHL
28,1983,1974,Ana,CHL
29,2157,2578,Ana,CHL
30,1720,2322,CCA,RHO
31,2854,498,ROC,HB
32,2737,540,RUB,HB
33,2633,959,RUB,HB
34,2317,818,RUB,HB
35,2748,1559,ROC,HB
36,2337,1151,CCA,RHO
37,2557,1659,RUB,HB
38,2457,1856,Ana,CHL
39,2376,2640,Anal,ECH
40,2505,2419,CCA,RHO
41,3584,304,ROC,HB
42,3328,291,Ana,CHL
43,3138,908,ROC,HB
44,2930,917,ROC,HB
45,2999,1465,CCA,RHO
46,3548,1489,CCA,RHO
47,2913,1896,CCA,RHO
48,3373,2084,CCA,RHO
49,3006,2275,ROC,HB
50,3283,2458,ROC,HB
