Number,x,y,label_name,class_name
1,25,260,Ana,CHL
2,557,166,CCA,RHO
3,153,847,CCA,RHO
4,406,929,ROC,HB
5,356,1316,Ana,CHL
6,658,1612,Aga,COR
7,624,1840,ROC,HB
8,288,2048,Ana,CHL
9,75,2235,ROC,HB
10,324,2455,ROC,HB
11,1321,263,CCA,RHO
12,1436,227,ROC,HB
13,972,936,ROC,HB
14,1076,1001,Ana,CHL
15,1334,1633,Ana,CHL
16,1245,1181,CCA,RHO
17,954,1875,Anal,ECH
18,1340,1721,Ana,CHL
19,1040,2517,Xesm,POR
20,1064,2229,DID,CHO
21,2144,339,CCA,RHO
22,2084,217,CHL,CHL
23,1755,745,Ana,CHL
24,2144,1027,CCA,RHO
25,1752,1189,ROC,HB
26,2181,1256,ROC,HB
27,1502,1767,RUB,HB
28,1780,1724,Agaf,COR
29,2001,2424,Ana,CHL
30,1800,2571,Ana,CHL
31,2634,332,ASC,CHO
32,2252,410,CCA,RHO
33,2426,566,ROC,HB
34,2312,572,ROC,HB
35,2611,1604,CCA,RHO
36,2594,1506,RUB,HB
37,2215,1873,CCA,RHO
38,2492,1990,CCA,RHO
39,2742,2658,CCA,RHO
40,2819,2205,Ana,CHL
41,3448,116,Ana,CHL
42,3406,536,RUB,HB
43,3564,875,CCA,RHO
44,3070,1001,Aga,COR
45,3116,1355,CCA,RHO
46,3263,1116,CCA,RHO
47,3190,1879,ROC,HB
48,3261,1740,CCA,RHO
49,3263,2445,Mdrsd,COR
50,3489,2257,ROC,HB
