Number,x,y,label_name,class_name
1,512,265,CCA,RHO
2,195,351,ROC,HB
3,81,701,CCA,RHO
4,404,640,CCA,RHO
5,208,1555,CCA,RHO
6,521,1238,ROC,HB
7,712,1834,ROC,HB
8,618,2095,Ana,CHL
9,596,2550,DEM,POR
10,304,2616,CHL,CHL
11,897,10,RUB,HB
12,1302,133,CCA,RHO
13,1296,666,RUB,HB
14,788,789,CCA,RHO
15,754,1462,CCA,RHO
16,1287,1621,RUB,HB
17,1244,1882,DEM,POR
18,1001,1899,RUB,HB
19,913,2453,PHA,PHA
20,974,2665,Dic,PHA
21,1479,350,RHO,RHO
22,1751,280,ROC,HB
23,1860,919,Ana,CHL
24,1839,904,Ana,CHL
25,1833,1474,Ana,CHL
26,1795,1220,Ana,CHL
27,1601,1672,Ana,CHL
28,2112,1760,SPI,POR
29,1696,2656,CCA,RHO
30,1961,2564,CCA,RHO
31,2825,527,CCA,RHO
32,2682,478,CCA,RHO
33,2840,966,Ana,CHL
34,2234,641,CCA,RHO
35,2855,1181,CCA,RHO
36,2497,1341,Ana,CHL
37,2540,2088,Ana,CHL
38,2703,2051,Ana,CHL
39,2770,2369,Ana,CHL
40,2748,2612,Ana,CHL
41,3044,280,Ery,POR
42,2964,69,CCA,RHO
43,3205,1008,CCA,RHO
44,3266,727,Ana,CHL
45,3133,1370,CCA,RHO
46,3528,1232,ROC,HB
47,3184,2158,Verp,CHL
48,3273,1840,Aga,COR
49,3271,2191,Verp,CHL
50,3031,2399,ROC,HB
