Number,x,y,label_name,class_name
1,194,27,CCA,RHO
2,664,438,ROC,HB
3,214,639,CCA,RHO
4,547,1032,CCA,RHO
5,670,1267,DCP,HB
6,78,1295,CCA,RHO
7,245,1928,ROC,HB
8,249,2181,CCA,RHO
9,455,2660,CCA,RHO
10,662,2263,CCA,RHO
11,919,83,CCA,RHO
12,1124,130,CCA,RHO
13,1402,915,CCA,RHO
14,1243,736,Ana,CHL
15,1154,1599,CCA,RHO
16,739,1360,CCA,RHO
17,877,1712,CCA,RHO
18,1063,1875,Agaf,COR
19,748,2215,ROC,HB
20,1025,2273,CCA,RHO
21,2051,77,CCA,RHO
22,2142,405,RUB,HB
23,1702,715,Ana,CHL
24,1782,906,Ana,CHL
25,1706,1102,ROC,HB
26,1808,1559,CCA,RHO
27,1708,2157,CCA,RHO
28,1829,2100,CCA,RHO
29,1915,2563,RUB,HB
30,1971,2661,RUB,HB
31,2555,488,ROC,HB
32,2428,219,RUB,HB
33,2792,792,Ana,CHL
34,2369,1090,Ana,CHL
35,2201,1097,Ana,CHL
36,2198,1355,Ana,CHL
37,2537,1748,Ana,CHL
38,2444,1805,Ana,CHL
39,2385,2315,CCA,RHO
40,2479,2262,CCA,RHO
41,3316,160,CCA,RHO
42,3183,245,Ana,CHL
43,3274,739,Ana,CHL
44,3217,1082,Ana,CHL
45,3346,1395,Ana,CHL
46,3357,1557,RUB,HB
47,3450,1841,ROC,HB
48,3315,1929,CCA,RHO
49,3026,2377,ROC,HB
50,3174,2596,ROC,HB
